iter	Passed	Remaining
1229	21726	4769
1230	21744	4751
1231	21762	4733
1232	21778	4716
1233	21795	4698
1234	21814	4680
1235	21831	4663
1236	21848	4645
1237	21864	4627
1238	21881	4609
1239	21899	4591
1240	21916	4574
1241	21935	4556
1242	21951	4538
1243	21969	4520
1244	21987	4503
1245	22003	4485
1246	22020	4467
1247	22038	4450
1248	22055	4432
1249	22073	4414
1250	22090	4396
1251	22108	4379
1252	22124	4361
1253	22145	4344
1254	22161	4326
1255	22178	4308
1256	22195	4290
1257	22213	4273
1258	22230	4255
1259	22249	4237
1260	22266	4220
1261	22285	4202
1262	22303	4185
1263	22320	4167
1264	22338	4149
1265	22356	4132
1266	22373	4114
1267	22390	4096
1268	22406	4078
1269	22424	4061
1270	22441	4043
1271	22458	4025
1272	22476	4008
1273	22493	3990
1274	22510	3972
1275	22527	3954
1276	22543	3936
1277	22560	3918
1278	22577	3901
1279	22594	3883
1280	22611	3865
1281	22630	3848
1282	22647	3830
1283	22664	3812
1284	22681	3794
1285	22697	3777
1286	22714	3759
1287	22731	3741
1288	22748	3723
1289	22765	3705
1290	22783	3688
1291	22800	3670
1292	22817	3652
1293	22835	3635
1294	22852	3617
1295	22869	3599
1296	22887	3582
1297	22904	3564
1298	22921	3546
1299	22939	3529
1300	22956	3511
1301	22972	3493
1302	22989	3475
1303	23007	3458
1304	23023	3440
1305	23041	3422
1306	23060	3405
1307	23077	3387
1308	23093	3369
1309	23110	3351
1310	23127	3334
1311	23143	3316
1312	23160	3298
1313	23179	3281
1314	23196	3263
1315	23214	3245
1316	23231	3228
1317	23247	3210
1318	23264	3192
1319	23281	3174
1320	23298	3156
1321	23316	3139
1322	23334	3121
1323	23352	3104
1324	23371	3086
1325	23389	3069
1326	23407	3051
1327	23426	3034
1328	23444	3016
1329	23462	2998
1330	23480	2981
1331	23498	2963
1332	23517	2946
1333	23535	2928
1334	23552	2910
1335	23570	2893
1336	23587	2875
1337	23604	2857
1338	23620	2840
1339	23639	2822
1340	23655	2804
1341	23672	2787
1342	23689	2769
1343	23706	2751
1344	23723	2733
1345	23740	2716
1346	23757	2698
1347	23774	2680
1348	23792	2663
1349	23808	2645
1350	23825	2627
1351	23842	2609
1352	23861	2592
1353	23878	2574
1354	23894	2557
1355	23911	2539
1356	23929	2521
1357	23946	2504
1358	23963	2486
1359	23980	2468
1360	23997	2450
1361	24013	2433
1362	24030	2415
1363	24047	2397
1364	24065	2380
1365	24085	2362
1366	24101	2344
1367	24119	2327
1368	24137	2309
1369	24156	2292
1370	24173	2274
1371	24191	2256
1372	24209	2239
1373	24226	2221
1374	24244	2204
1375	24262	2186
1376	24278	2168
1377	24295	2151
1378	24312	2133
1379	24329	2115
1380	24349	2098
1381	24369	2080
1382	24386	2063
1383	24403	2045
1384	24421	2027
1385	24440	2010
1386	24457	1992
1387	24475	1974
1388	24493	1957
1389	24510	1939
1390	24528	1922
1391	24546	1904
1392	24564	1886
1393	24581	1869
1394	24598	1851
1395	24614	1833
1396	24633	1816
1397	24651	1798
1398	24669	1781
1399	24687	1763
1400	24704	1745
1401	24724	1728
1402	24742	1710
1403	24759	1692
1404	24776	1675
1405	24794	1657
1406	24813	1640
1407	24830	1622
1408	24847	1604
1409	24864	1587
1410	24881	1569
1411	24898	1551
1412	24915	1534
1413	24932	1516
1414	24949	1498
1415	24968	1481
1416	24985	1463
1417	25003	1445
1418	25021	1428
1419	25039	1410
1420	25058	1393
1421	25075	1375
1422	25094	1357
1423	25114	1340
1424	25130	1322
1425	25147	1304
1426	25164	1287
1427	25181	1269
1428	25199	1252
1429	25217	1234
1430	25235	1216
1431	25252	1199
1432	25270	1181
1433	25288	1163
1434	25306	1146
1435	25325	1128
1436	25342	1111
1437	25359	1093
1438	25376	1075
1439	25393	1058
1440	25413	1040
1441	25430	1022
1442	25447	1005
1443	25466	987
1444	25487	970
1445	25505	952
1446	25524	934
1447	25541	917
1448	25559	899
1449	25576	881
1450	25593	864
1451	25612	846
1452	25630	829
1453	25648	811
1454	25665	793
1455	25683	776
1456	25700	758
1457	25717	740
1458	25735	723
1459	25751	705
1460	25768	687
1461	25785	670
1462	25801	652
1463	25819	634
1464	25836	617
1465	25855	599
1466	25871	581
1467	25888	564
1468	25906	546
1469	25922	529
1470	25941	511
1471	25959	493
1472	25977	476
1473	25995	458
1474	26013	440
1475	26032	423
1476	26048	405
1477	26069	388
1478	26088	370
1479	26106	352
1480	26123	335
1481	26142	317
1482	26159	299
1483	26178	282
1484	26194	264
1485	26211	246
1486	26228	229
1487	26244	211
1488	26261	194
1489	26280	176
1490	26299	158
1491	26318	141
1492	26334	123
1493	26352	105
1494	26369	88
1495	26385	70
1496	26404	52
1497	26422	35
1498	26441	17
1499	26460	0
